Time,Inv 1 AC-Leistung (W)
16.05.2021,2999.7568W
17.05.2021,1696.067W
18.05.2021,2911.8181W
19.05.2021,1232.5109W
20.05.2021,3826.9038W
21.05.2021,2847.9788W
22.05.2021,823.4706W
23.05.2021,1388.766W
24.05.2021,592.5297W
25.05.2021,579.7396W
26.05.2021,3953.0522W
27.05.2021,1945.9215W
28.05.2021,2992.3926W
29.05.2021,2543.1614W
30.05.2021,2221.9426W
31.05.2021,2252.2009W
01.06.2021,3220.134W
02.06.2021,3194.3042W
03.06.2021,2967.9226W
04.06.2021,3368.6104W
05.06.2021,2858.7473W
06.06.2021,1018.7629W
07.06.2021,2136.9282W
08.06.2021,3364.5847W
09.06.2021,2558.3743W
10.06.2021,2029.366W
11.06.2021,2330.0623W
12.06.2021,2494.5178W
13.06.2021,3338.2063W
14.06.2021,3780.4111W
15.06.2021,3547.6821W
16.06.2021,3381.5796W
17.06.2021,3454.9949W
18.06.2021,3056.2041W
19.06.2021,2735.1633W
20.06.2021,2759.7527W
21.06.2021,3270.6907W
22.06.2021,3239.9031W
23.06.2021,3477.6924W
24.06.2021,3443.0W
25.06.2021,1754.6129W
26.06.2021,2793.75W
27.06.2021,3512.7917W
28.06.2021,3478.665W
29.06.2021,3057.6392W
30.06.2021,2692.8401W
01.07.2021,2028.1589W
02.07.2021,1784.5103W
03.07.2021,3731.8499W
04.07.2021,1565.6083W
05.07.2021,2539.2512W
06.07.2021,3652.9331W
07.07.2021,3443.114W
08.07.2021,3154.9226W
09.07.2021,3077.6855W
10.07.2021,3693.4561W
11.07.2021,3092.8481W
12.07.2021,2509.4507W
13.07.2021,2974.0806W
14.07.2021,3188.0635W
15.07.2021,2727.9841W
16.07.2021,1830.0881W
17.07.2021,1030.2957W
18.07.2021,1547.6787W
19.07.2021,3416.3069W
20.07.2021,3212.1702W
21.07.2021,3437.4043W
22.07.2021,3648.6772W
23.07.2021,3205.6914W
24.07.2021,3156.2461W
25.07.2021,3402.946W
26.07.2021,2945.8655W
27.07.2021,2279.2312W
28.07.2021,3138.8171W
29.07.2021,3753.5054W
30.07.2021,3143.5454W
31.07.2021,2524.5549W
01.08.2021,1008.7W
02.08.2021,2414.8176W
03.08.2021,3206.9282W
04.08.2021,1007.5251W
05.08.2021,1445.6548W
06.08.2021,2981.7166W
07.08.2021,3640.0559W
08.08.2021,848.0278W
09.08.2021,3279.3167W
10.08.2021,3817.6235W
11.08.2021,3525.9607W
12.08.2021,3615.7246W
13.08.2021,3099.8938W
14.08.2021,3206.2671W
15.08.2021,2255.0571W
16.08.2021,2346.5349W
17.08.2021,3434.8555W
18.08.2021,3579.4883W
19.08.2021,3030.4885W
20.08.2021,3687.9414W
21.08.2021,3818.6128W
22.08.2021,2656.5178W
23.08.2021,1687.8024W
24.08.2021,3107.1785W
25.08.2021,4020.8999W
26.08.2021,1693.1428W
27.08.2021,2681.7515W
28.08.2021,2317.5706W
29.08.2021,3374.0W
30.08.2021,1581.6145W
31.08.2021,2501.9404W
01.09.2021,3617.3879W
02.09.2021,3676.4634W
03.09.2021,3538.1091W
04.09.2021,4136.7319W
05.09.2021,3747.3496W
06.09.2021,4029.1829W
07.09.2021,2801.1738W
08.09.2021,3735.6504W
09.09.2021,4136.8325W
10.09.2021,4153.3374W
11.09.2021,4015.6438W
12.09.2021,2914.019W
13.09.2021,3473.9873W
14.09.2021,3447.282W
15.09.2021,3499.5806W
16.09.2021,1598.3182W
17.09.2021,1767.875W
18.09.2021,3040.3333W
19.09.2021,2198.9526W
20.09.2021,626.4865W
21.09.2021,1791.9673W
22.09.2021,2406.9194W
23.09.2021,4175.1963W
24.09.2021,4170.2886W
25.09.2021,4078.6755W
26.09.2021,3961.9731W
27.09.2021,914.9225W
28.09.2021,3454.2417W
29.09.2021,1490.162W
30.09.2021,2333.2378W
01.10.2021,4042.8445W
02.10.2021,2614.6943W
03.10.2021,4026.0W
04.10.2021,4049.7568W
05.10.2021,2836.1538W
06.10.2021,745.9641W
07.10.2021,281.9243W
08.10.2021,500.0292W
09.10.2021,3070.6809W
10.10.2021,342.3577W
11.10.2021,2254.0667W
12.10.2021,781.3696W
13.10.2021,3656.3984W
14.10.2021,2344.5334W
15.10.2021,3910.0803W
16.10.2021,1387.7852W
17.10.2021,3999.0369W
18.10.2021,2481.9563W
19.10.2021,3301.8044W
20.10.2021,3722.3806W
21.10.2021,2291.9607W
22.10.2021,2431.7634W
23.10.2021,3994.4702W
24.10.2021,1653.061W
25.10.2021,3837.0764W
26.10.2021,1016.3409W
27.10.2021,3829.8W
28.10.2021,3652.0076W
29.10.2021,3354.8047W
30.10.2021,3734.3149W
31.10.2021,3378.4307W
01.11.2021,3098.2419W
02.11.2021,1780.6097W
03.11.2021,2229.2847W
04.11.2021,2837.281W
05.11.2021,1295.0W
06.11.2021,3030.8936W
07.11.2021,3290.3225W
08.11.2021,1930.1052W
09.11.2021,3447.082W
10.11.2021,2785.48W
11.11.2021,349.4386W
12.11.2021,205.0351W
13.11.2021,238.1826W
14.11.2021,275.3363W
15.11.2021,511.3305W
16.11.2021,387.9115W
17.11.2021,195.4298W
18.11.2021,2724.8535W
19.11.2021,2319.0671W
20.11.2021,3233.3613W
21.11.2021,3330.8035W
22.11.2021,242.5W
23.11.2021,1602.1466W
24.11.2021,3411.8535W
25.11.2021,2209.0439W
26.11.2021,85.7333W
27.11.2021,109.5102W
28.11.2021,74.3441W
29.11.2021,1880.3392W
30.11.2021,2277.6814W
01.12.2021,1496.7928W
02.12.2021,126.0583W
03.12.2021,1816.0625W
04.12.2021,1939.5272W
05.12.2021,22.534W
06.12.2021,2641.9363W
07.12.2021,2665.0708W
08.12.2021,1542.8198W
09.12.2021,15.8696W
10.12.2021,134.3558W
11.12.2021,242.3942W
12.12.2021,2004.8363W
