Time,Inv 1 AC-Leistung (W)
2021-10-27,3829.8W
2021-10-28,3652.0076W
2021-10-29,3354.8047W
2021-10-30,3734.3149W
2021-10-31,3378.4307W
2021-11-01,3098.2419W
2021-11-02,1780.6097W
2021-11-03,2229.2847W
2021-11-04,2837.281W
2021-11-05,1295.0W
2021-11-06,3030.8936W
2021-11-07,3290.3225W
2021-11-08,1930.1052W
2021-11-09,3447.082W
2021-11-10,2785.48W
2021-11-11,349.4386W
2021-11-12,205.0351W
2021-11-13,238.1826W
2021-11-14,275.3363W
2021-11-15,511.3305W
2021-11-16,387.9115W
2021-11-17,195.4298W
2021-11-18,2724.8535W
2021-11-19,2319.0671W
2021-11-20,3233.3613W
2021-11-21,3330.8035W
2021-11-22,242.5W
2021-11-23,1602.1466W
2021-11-24,3411.8535W
2021-11-25,2209.0439W
2021-11-26,85.7333W
2021-11-27,109.5102W
2021-11-28,74.3441W
2021-11-29,1880.3392W
2021-11-30,2277.6814W
2021-12-01,1496.7928W
2021-12-02,126.0583W
2021-12-03,1816.0625W
2021-12-04,1939.5272W
2021-12-05,22.534W
2021-12-06,2641.9363W
2021-12-07,2665.0708W
2021-12-08,1542.8198W
2021-12-09,15.8696W
2021-12-10,134.3558W
2021-12-11,242.3942W
2021-12-12,2004.8363W
2021-12-13,890.4771W
2021-12-14,2188.6306W
2021-12-15,611.6339W
2021-12-16,2258.6846W
2021-12-17,2045.6697W
2021-12-18,2499.5454W
2021-12-19,2716.009W
2021-12-20,2654.4866W
2021-12-21,2616.2546W
2021-12-22,438.3273W
2021-12-23,853.7818W
2021-12-24,1217.7686W
2021-12-25,1641.9175W
2021-12-26,134.5446W
2021-12-27,219.1373W
2021-12-28,139.2475W
2021-12-29,2230.6943W
2021-12-30,2167.7964W
2021-12-31,2721.991W
2022-01-01,2253.761W
2022-01-02,2462.5676W
2022-01-03,2165.4814W
2022-01-04,746.3423W
2022-01-05,123.1635W
2022-01-06,2531.0356W
2022-01-07,3244.3394W
2022-01-08,1771.6339W
2022-01-09,1200.1072W
2022-01-10,1275.1982W
2022-01-11,3328.3564W
2022-01-12,3311.4036W
2022-01-13,3123.1379W
2022-01-14,3238.6897W
2022-01-15,3068.0862W
2022-01-16,3169.7119W
2022-01-17,2055.1379W
2022-01-18,3472.6035W
2022-01-19,3351.8135W
2022-01-20,1846.8435W
2022-01-21,3858.3418W
2022-01-22,3290.8462W
2022-01-23,2233.2136W
2022-01-24,118.3894W
2022-01-25,3551.5798W
2022-01-26,466.8898W
2022-01-27,995.34W
2022-01-28,1779.174W
2022-01-29,2076.123W
2022-01-30,3993.9751W
2022-01-31,1017.1138W
2022-02-01,2702.7024W
2022-02-02,2379.5454W
2022-02-03,2843.7097W
2022-02-04,3833.8862W
2022-02-05,3396.0476W
2022-02-06,2514.9753W
2022-02-07,2050.2683W
2022-02-08,3567.1372W
2022-02-09,3820.4761W
2022-02-10,3958.3047W
2022-02-11,2624.1182W
2022-02-12,4246.6016W
2022-02-13,4195.0776W
2022-02-14,4126.3662W
2022-02-15,2350.5681W
2022-02-16,3871.4539W
2022-02-17,3966.6538W
2022-02-18,3920.3608W
2022-02-19,1337.6923W
2022-02-20,2335.3435W
2022-02-21,719.3384W
2022-02-22,3416.5076W
2022-02-23,3998.4478W
2022-02-24,4084.772W
2022-02-25,479.7836W
2022-02-26,2413.9783W
2022-02-27,3727.1396W
2022-02-28,3654.1079W
2022-03-01,4377.8726W
2022-03-02,4473.4102W
2022-03-03,4179.4751W
2022-03-04,2597.4639W
2022-03-05,1233.4214W
2022-03-06,1529.741W
2022-03-07,4007.7832W
2022-03-08,3158.2268W
2022-03-09,4222.4214W
2022-03-10,4274.6782W
2022-03-11,4405.1309W
2022-03-12,4667.7656W
2022-03-13,4506.1484W
2022-03-14,4181.2651W
2022-03-15,1930.9445W
2022-03-16,1743.6107W
2022-03-17,3114.8367W
2022-03-18,1789.1987W
2022-03-19,1297.9597W
2022-03-20,3906.4268W
2022-03-21,4486.5845W
2022-03-22,4486.7778W
2022-03-23,4430.0386W
2022-03-24,4434.7988W
2022-03-25,4073.1741W
2022-03-26,4035.9495W
2022-03-27,4156.6216W
2022-03-28,4138.9492W
2022-03-29,3463.7114W
2022-03-30,1092.6666W
2022-03-31,474.9412W
2022-04-01,1120.5166W
2022-04-02,659.9167W
2022-04-03,2251.6306W
2022-04-04,2189.3313W
2022-04-05,2031.7407W
2022-04-06,4380.6025W
2022-04-07,3327.2036W
2022-04-08,2018.7531W
2022-04-09,726.8025W
2022-04-10,3437.9697W
2022-04-11,4511.1987W
2022-04-12,4404.2529W
2022-04-13,4233.1846W
2022-04-14,4293.3677W
2022-04-15,1905.2275W
2022-04-16,3321.071W
2022-04-17,4450.041W
2022-04-18,2362.1726W
2022-04-19,536.5844W
2022-04-20,4409.4268W
2022-04-21,3766.8843W
2022-04-22,313.0994W
2022-04-23,724.5029W
2022-04-24,3050.4194W
2022-04-25,3067.23W
2022-04-26,1158.7485W
2022-04-27,993.2601W
2022-04-28,2593.8694W
2022-04-29,3188.4971W
2022-04-30,4167.9043W
2022-05-01,1673.4171W
2022-05-02,1968.8693W
2022-05-03,3738.1118W
2022-05-04,3088.7151W
2022-05-05,3031.1685W
2022-05-06,759.0862W
2022-05-07,606.9769W
2022-05-08,1947.5945W
2022-05-09,3344.2556W
2022-05-10,3393.6775W
2022-05-11,3778.0437W
2022-05-12,3327.2131W
2022-05-13,1941.011W
2022-05-14,3850.8171W
2022-05-15,3427.0645W
2022-05-16,2520.1028W
2022-05-17,2474.0989W
2022-05-18,3470.1809W
2022-05-19,3870.2566W
2022-05-20,3538.2258W
2022-05-21,1838.6703W
2022-05-22,3656.7393W
2022-05-23,2386.2913W
2022-05-24,2701.615W
2022-05-25,1581.2222W
2022-05-26,2497.0105W
2022-05-27,3748.4712W
2022-05-28,646.9465W
2022-05-29,811.7031W
2022-05-30,2412.1106W
2022-05-31,3771.2292W
2022-06-01,3423.3855W
2022-06-02,2575.9097W
2022-06-03,2551.8489W
2022-06-04,3424.8376W
2022-06-05,1051.2135W
2022-06-06,3327.3403W
2022-06-07,1959.7151W
2022-06-08,1584.6388W
2022-06-09,586.0695W
2022-06-10,1476.1771W
2022-06-11,2893.2246W
2022-06-12,3015.4236W
2022-06-13,1694.2284W
2022-06-14,3372.2144W
2022-06-15,3482.269W
2022-06-16,1834.9794W
2022-06-17,2933.4314W
2022-06-18,3520.8782W
2022-06-19,3619.0203W
2022-06-20,2659.5938W
2022-06-21,654.5876W
2022-06-22,1537.0481W
2022-06-23,1576.7225W
2022-06-24,1856.5562W
2022-06-25,2860.4336W
2022-06-26,3255.7969W
2022-06-27,3407.6174W
2022-06-28,2960.9534W
2022-06-29,2676.5027W
2022-06-30,2918.4248W
2022-07-01,3126.1123W
2022-07-02,3528.5532W
2022-07-03,3718.9211W
2022-07-04,1846.3673W
2022-07-05,2365.5469W
2022-07-06,3381.0774W
2022-07-07,1433.5566W
2022-07-08,3807.917W
2022-07-09,3218.9897W
2022-07-10,2471.9102W
2022-07-11,3242.9385W
2022-07-12,2563.9739W
2022-07-13,3720.2124W
2022-07-14,2897.4197W
2022-07-15,1206.7074W
